Id,Name,Name_transcription,Sex,Birth,Party,Role,Afiliation,From,To,Periods
ForcadellCarme,Carme Forcadell i Lluís,,F,1995-05-29,ERC,member,ERC,2018-01-17,2018-03-22,XII
RoviraMarta,Marta Rovira i Vergés,,F,1977-01-25,ERC,member,ERC,2018-01-17,2018-03-22,XII
DiazJenn,Jenn Diaz Ruiz,,F,1988-04-25,ERC,member,Independent,2018-01-17,,XII
WagensbergRuben,Ruben Wagensberg,,M,1986-09-10,ERC,member,Independent,2018-01-17,,XII
DriouechNajat,Najat Driouech Ben Moussa,,F,1905-06-03,ERC,member,Independent,2018-01-17,,XII
BaróEva,Eva Baró i Ramos,,F,1974-10-23,ERC,member,ERC,2018-01-17,2019-07-16,XII
MaragallErnest,Ernest Maragall i Mira,,M,1943-01-05,ERC,member,MES,2018-01-17,,XII
CastellàAntoni,Antoni Castellà i Clavè,,M,1970-06-26,ERC,member,DC,2018-01-17,,XII
DelgadoAdriana,Adriana Delgado i Herreros,,F,1905-05-31,ERC,member,ERC,2018-01-17,,XII
AlbertJordi,Jordi Albert i Caballero,,M,1978-02-14,ERC,member,ERC,2018-01-17,,XII
PalacinMònica,Mònica Palacin i París,,F,1972-10-30,ERC,member,ERC,2018-01-17,,XII
ElHomraniChakir,Chakir El Homrani Lesfar,,M,1905-06-01,ERC,member,ERC,2018-03-23,2018-06-14,XII
SanglasMarc,Marc Sanglas i Alcantarilla,,M,1971-10-23,ERC,member,ERC,2018-06-14,,XII
GomézGerard,Gerard Goméz del Moral i Fuster,,M,1989-10-17,ERC,member,ERC,2018-01-17,,XII
LaïllaAssumpció,Assumpció Laïlla i Jou,,F,1975-10-03,ERC,member,DC,2018-03-23,,XII
LlopLluïsa,Lluïsa Llop i Fernàndez,,F,1970-12-19,ERC,member,ERC,2018-06-14,,XII
PicasNúria,Núria Picas i Albets,,F,1976-11-02,ERC,member,ERC,2019-05-28,,XII
RodriguezJosé,José Rodriguez Fernández,,M,1905-05-29,ERC,member,ERC,2019-05-28,,XII
CarbonellAurora,Aurora Carbonell i Abella,,F,1905-05-19,ERC,member,ERC,2019-07-25,,XII
MetgeAlba,Alba Metge i Climent,,F,1982-10-15,ERC,member,ERC,2020-01-22,,XII
SerretMeritxell,Meritxell Serret i Aleu,,F,1975-06-19,ERC,member,ERC,2018-01-17,2018-01-29,XII
ReyesEduardo,Eduardo Reyes i Pino,,M,1951-04-25,ERC,member,Independent,2019-11-26,,XII
CasamitjanaMagdalena,Magdalena Casamitjana i Aguilà,,F,1963-01-27,ERC,member,MES,2018-03-23,2018-11-30,XII
BassaDolors,Dolors Bassa i Coll,,F,1959-02-02,ERC,member,ERC,2018-01-17,2018-03-22,XII
SabriàSergi,Sergi Sabrià i Benito,,M,1975-07-02,ERC,member,ERC,2018-01-17,,XII
OrobitgJordi,Jordi Orobitg i Solè,,M,1966-10-15,ERC,member,ERC,2018-12-11,,XII
SoléBernat,Bernat Solé i Barril,,M,1975-01-30,ERC,member,ERC,2018-01-17,,XII
EspigaresGemma,Gemma Espigares i Tribño,,M,1905-06-10,ERC,member,ERC,2018-01-17,,XII
ViaplanaFrancesc,Francesc Viaplana i Manresa,,M,1905-06-03,ERC,member,Independent,2018-01-17,,XII
CivitFerran,Ferran Civit Martí,,M,1905-05-30,ERC,member,ERC,2018-01-17,,XII
SalvadóJosep,Josep Lluís Salvadó Tenesa,,M,1969-03-27,ERC,member,ERC,2018-01-17,42390,XII
FornellsMontserrat,Montserrat Fornells i Solè,,F,1905-06-05,ERC,member,ERC,2018-01-17,,XII
RodriguezDavid,David Rodriguez i González,,M,1967-11-08,ERC,member,ERC,2018-01-29,43363,XII
VilaltaMarta,Marta Vilalta i Torres,,F,1984-12-03,ERC,member,ERC,2018-10-02,,XII
PerisÒscar,Òscar Peris i Ròdenas,,M,1974-04-30,ERC,member,ERC,2018-01-17,43305,XII
SansRaquel,Raquel Sans i Guerra,,F,1905-06-02,ERC,member,ERC,2018-10-02,,XII
LlauradóNoemi,Noemi Llauradó i Sans,,F,1978-06-04,ERC,member,ERC,2018-01-17,,XII
FornósIrene,Irene Fornós i Curto,,F,1980-08-17,ERC,member,ERC,2018-01-17,,XII
SirventMaria,Maria Sirvent Escrig,,F,1905-06-09,CUP,member,CUP,2018-01-17,,XII
AragonèsPere,Vidal Aragonés Chicharro,,M,1978-04-09,CUP,member,CUP,2018-01-17,,XII
SànchezNatàlia,Natàlia Sànchez Dipp,,F,1905-06-05,CUP,member,CUP,2018-01-17,,XII
GarcíaXavier,Xavier García Albiol,,M,1967-12-08,PP,member,PP,2018-01-17,43496,XII
LevyAndrea,Andrea Levy Soler,,F,1984-05-03,PP,member,PP,2018-01-17,43594,XII
GarcíaEsperanza,Esperanza García González,,F,1905-05-28,PP,member,PP,2019-02-06,44110,XII
RodriguezSantiago,Santiago Rodriguez Serra,,M,1964-04-18,PP,member,PP,2018-01-17,,XII
SerranoDaniel,Daniel Serrano Coronado,,M,1976-06-18,PP,member,PP,2019-05-15,,XII
ReyesManuel,Manuel Reyes López,,M,1976-05-16,PP,member,PP,2020-10-13,,XII
IcetaMiquel,Miquel Iceta i Llorens,,M,1960-08-17,PSC,member,PSOE,2018-01-17,,XII
RomeroAlícia,Alícia Romero Llano,,F,1976-06-20,PSC,member,PSOE,2018-01-17,,XII
TerradesJordi,Jordi Terrades i Santacreu,,M,1957-01-26,PSC,member,PSOE,2018-01-17,,XII
EscarpAssumpta,Assumpta Escarp Gibert,,F,1905-05-10,PSC,member,PSOE,2018-01-17,,XII
NiubóEsther,Esther Niubó Cindoncha,,F,1980-10-01,PSC,member,PSOE,2018-01-17,,XII
GibertPol,Pol Gibert Horcas,,M,1987-04-04,PSC,member,PSOE,2018-01-17,,XII
MoretaMarta,Marta Moreta Rovira,,F,1969-01-20,PSC,member,PSOE,2018-01-17,,XII
MorenoRaúl,Raúl Moreno Montaña,,M,1978-12-20,PSC,member,PSOE,2018-01-17,,XII
EspadalerRamon,Ramon Espadaler i Parcerisas,,M,1963-09-19,PSC,member,PSOE,2018-01-17,,XII
SilvaBeatriz,Beatriz Silva Gallardo,,F,1969-09-11,PSC,member,PSOE,2018-01-17,,XII
BrugueraRafel,Rafel Bruguera Batalla ,,M,1956-10-11,PSC,member,PSOE,2018-01-17,,XII
OrdeigÒscar,Òscar Ordeig Molist,,M,1978-03-14,PSC,member,PSOE,2018-01-17,,XII
CastilloCarlos,Carlos Castillo Rosique,,M,1905-05-28,PSC,member,PSOE,2018-01-17,44088,XII
IbarraRosa,Rosa M. Ibarra Ollé,,F,1969-07-26,PSC,member,PSOE,2018-01-17,,XII
CaballolJoan,Joan Antoni Caballol i Angelats,,M,1905-05-17,PSC,member,Units,2020-09-18,,XII
DomènechXavier,Xavier Domènech i Sampere,,M,1974-12-02,CatenCumú-PODEM,member,CatenCumú-PODEM,2018-01-17,43355,XII
AlamanyElisenda,Elisenda Alamany Gutiérrez,,F,1905-06-05,CatenCumú-PODEM,member,CatenCumú-PODEM,2018-01-17,43557,XII
AlbiachJèssica,Jèssica Albiach Satorres,,F,1979-05-29,CatenCumú-PODEM,member,Podemos,2018-01-17,,XII
NuetJoan,Joan Josep Nuet i Pujals,,M,1964-08-06,CatenCumú-PODEM,member,CatenCumú-PODEM,2018-01-17,43544,XII
CidDavid,David Cid Colomer,,M,1905-06-02,CatenCumú-PODEM,member,CatenCumú-PODEM,2018-01-17,,XII
FerroLucas,Lucas Silvano Ferro Solé,,M,1905-06-12,CatenCumú-PODEM,member,CatenCumú-PODEM,2018-09-26,,XII
ParésMarc,Marc Parés Franzi,,M,1979-02-24,CatenCumú-PODEM,member,CatenCumú-PODEM,2019-03-04,,XII
AbellánConcepción,Concepción Abellán Carretero,,F,1984-06-10,CatenCumú-PODEM,member,Podemos,2019-04-16,,XII
LópezYolanda,Yolanda López Fernández,,F,1905-05-19,CatenCumú-PODEM,member,Podemos,2018-01-17,,XII
MontserratAlfons,Alfons Montserrat Esteller,,,,,,,,,
BoschAlfred,Alfred Bosch i Pascual,,,,,,,,,
RosellóAnna,Anna Roselló i Albesa,,,,,,,,,
BayonaAntoni,Antoni Bayona Rocamora,,,,,,,,,
PellisaBernat,Bernat Pellisa i Sabaté,,,,,,,,,
MundóCarles,Carles Mundó i Blanch,,,,,,,,,
CalvetDamià,Damià Calvet i Valera,,,,,,,,,
MartínezDavid,David Martínez Oró,,,,,,,,,
MilloEnric,Enric Millo i Rocher,,,,,,,,,
CapellaEster,Ester Capella i Farré,,,,,,,,,
GranadosEva,Eva Granados,,,,,,,,,
SánchezFernando,Fernando Sánchez Costa,,,,,,,,,
PedretFerran,Ferran Pedret i Ramos,,,,,,,,,
EstevaGerard,Gerard Esteva i Viladecans,,,,,,,,,
SalvadóLluís,J. Lluís Salvadó i Tenesa,,,,,,,,,
AmatJaume,Jaume Amat i Reyero,,,,,,,,,
BaigetJordi,Jordi Baiget i Cantons,,,,,,,,,
JanéJordi,Jordi Jané i Guasch,,,,,,,,,
PuigneróJordi,Jordi Puigneró i Ferrer,,,,,,,,,
BargallóVallsJosep,Josep Bargalló Valls,,,,,,,,,
RoldánLorena,Lorena Roldán Sánchez,,,,,,,,,
ÀngelaVilallonga,Maria Àngela Vilallonga Vives,,,,,,,,,
ÀngelsChacon,Maria Àngels Chacon i Feixas,,,,,,,,,
BorràsMeritxell,Meritxell Borràs i Solé,,,,,,,,,
BudóMeritxell,Meritxell Budó i Pla,,,,,,,,,
RuizMeritxell,Meritxell Ruiz i Isern,,,,,,,,,
GimenoMiguel,Miguel Ángel Gimeno Jubero,,,,,,,,,
SàmperMiquel,Miquel Sàmper Rodríguez,,,,,,,,,
PalacínMonica,Monica Palacín París,,,,,,,,,
PinedaMontse,Montse Pineda Lorenzo,,,,,,,,,
RibóRafael,Rafael Ribó i Massó,,,,,,,,,
TremosaRamon,Ramon Tremosa i Balcells,,,,,,,,,
CañadellRosa,Rosa Cañadell Pascual,,,,,,,,,
MariaRosa,Rosa Maria Ibarra Ollé,,,,,,,,,
LaouajiSaloua,Saloua Laouaji Faridi,,,,,,,,,
RodríguezSanti,Santi Rodríguez i Serra,,,,,,,,,
SerraSanti,Santi Serra i Rodríguez,,,,,,,,,
VilaSanti,Santi Vila i Vicente,,,,,,,,,
SantamaríaSergio,Sergio Santamaría Santigosa,,,,,,,,,
JordàTeresa,Teresa Jordà i Roure,,,,,,,,,
MuroXavier,Xavier Muro i Bas,,,,,,,,,
