Id,Name,Name_transcription,Sex,Birth,Party,Role,Afiliation,From,To,Periods
GarcíaMJose,Mª José García Cuevas,,F,1964-03-18,PP,member,PP,2015-10-26,,XI
MilllanJuan,Juan Millan Querol,,M,1981-08-27,PP,member,PP,2015-10-26,,XI
XandriMarisa,Marisa Xandri Pujol,,F,1973-12-09,PP,member,PP,2015-10-26,,XI
FernándezAlejandro,Alejandro Fernández Álvarez,,M,1976-05-30,PP,member,PP,2015-10-26,,XI
BañosAntonio,Antonio Baños Boncompain,,M,1967-04-18,CUP,member,Independent,2015-10-26,2016-01-12,XI
BusquetaJosep,Josep Manel Busqueta i Franco,,M,1905-05-26,CUP,member,CUP,2015-10-26,2016-01-12,XI
SerraMaria,Maria Gabriela Serra i Frediani,,F,1951-12-18,CUP,member,Independent,2015-10-26,,XI
DeJòdarJulià,Julià de Jòdar i Muñoz,,M,1942-12-28,CUP,member,Independent,2015-10-26,2016-01-11,XI
GarrigaJoan,Joan Garriga i Quadres,,M,1905-05-06,CUP,member,CUP,2016-01-19,,XI
VehíMireia,Mireia Vehí i Cantenys,,F,1985-02-09,CUP,member,CUP,2016-01-19,,XI
CastillejoPilar,Pilar Castillejo i Medina,,F,1905-05-22,CUP,member,CUP,2016-02-16,2016-10-14,XI
RieraCarles,Carles Riera i Albert,,M,1905-05-13,CUP,member,CUP,2016-10-26,,XI
SafontXavier,Xavier Safont-Tria i Ramon,,M,1905-05-22,CUP,member,CUP,2017-10-24,,XI
SalellasBenet,Benet Salellas i Vilar,,F,1905-05-30,CUP,member,CUP,2015-10-26,,XI
UsallRamon,Ramon Usall i Santa,,M,1977-12-03,CUP,member,Independent,2015-10-26,2016-01-11,XI
BoyaMireia,Mireia Boya e Busquet,,F,1979-11-28,CUP,member,CUP,2016-01-19,,XI
SaladiéSergi,Sergi Saladié i Gil,,M,1905-05-27,CUP,member,Independent,2015-10-26,,XI
TorrentRoger,Roger Torrent i Ramió,,M,1979-07-19,ERC,chairperson,ERC,2018-01-17,,XII
CostaJosep,Josep Costa i Rosselló,,M,,JxCAT,member,Independent,2018-01-17,,XII
GarcíaJoan,Joan García González,,M,1905-05-28,C's,member,C's,2018-01-17,,XII
CampdepadrósEusebi,Eusebi Campdepadrós i Pucurull,,M,1961-09-23,JxCAT,member,ERC,2018-01-17,,XII
PérezDavid,David Pérez Ibáñez,,M,1960-12-14,PSC,member,PSOE,2018-01-17,,XII
VílchezLaura,Laura Vílchez Sánchez,,F,1905-06-01,C's,member,C's,2018-01-17,,XII
RibasRut,Rut Ribas i Martí ,,F,1905-06-12,ERC,member,ERC,2018-01-17,,XII
RoldánLorena,Lorena Roldán Suárez,,F,1981-08-07,C's,member,C's,2018-01-17,,XII
BravoMarina,Marina Bravo Sobrino,,F,1905-05-31,C's,member,C's,2018-01-17,,XII
GeisGemma,Gemma Geis i Carreras,,F,,JxCAT,member,Independent,2018-01-17,,XII
